GO,G ,G ,G ,G ,G ,G ,G ,H ,H ,X ,X ,P ,P ,P ,P ,P ,P ,H ,H ,H ,H ,H ,H ,H ,H ,X ,X ,,,,,,,,,,,,
G ,G ,G ,G ,G ,G ,G ,G ,H ,H ,P ,P ,P#,P ,P ,P ,P ,P ,H ,H ,H ,H ,H ,H ,H ,H ,X ,OG,,,,,,,,,,,,
G ,G ,G#,G ,G ,G ,G ,G ,H ,H ,P ,P ,P ,P*,P ,P ,P ,P ,H ,H ,H ,H ,H ,H ,H ,H ,O ,O ,,,,,,,,,,,,
G ,G ,G ,G*,G ,G ,G ,G ,H ,H ,P ,P ,P ,P ,P ,P ,P ,P ,H ,H ,H ,H ,H ,O ,O ,O ,O ,O ,,,,,,,,,,,,
G ,G ,G ,G ,G ,G ,G ,H ,H ,H ,P ,P ,P ,P ,P ,P ,P ,P ,H ,H ,O ,O ,O ,O#,O ,O ,O ,O ,,,,,,,,,,,,
G ,G ,G ,G ,G ,G ,G ,H ,H ,H ,P ,P ,P ,P ,P ,P ,H ,H ,H ,H>,O ,O ,O ,O ,O*,O ,O ,O ,,,,,,,,,,,,
G ,G ,G ,G ,G ,G ,H<,H ,H ,H ,H ,H ,H ,H^,H ,H ,H ,H ,H ,H ,O ,O ,O ,O ,O ,O ,O ,O ,,,,,,,,,,,,
G ,G ,G ,G ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,O ,O ,O ,O ,O ,O ,O ,O ,,,,,,,,,,,,
H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,H ,H ,H ,H ,H ,H ,H ,X ,,,,,,,,,,,,
H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,,,,,,,,,,,,
X ,X ,M ,M ,M ,H ,H ,H ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,S ,S ,S ,S ,S ,S ,S ,S ,,,,,,,,,,,,
