GO,G ,G ,G ,G ,G ,G ,G ,W ,W ,X ,X ,P ,P ,P ,P ,P ,P ,W ,W ,W ,W ,W ,W ,W ,W ,X ,X 
G ,G ,G ,G ,G ,G ,G ,G ,W ,W ,P ,P ,P#,P ,P ,P ,P ,P ,W ,W ,W ,W ,W ,W ,W ,W ,X ,OG
G ,G ,G#,G ,G ,G ,G ,G ,W ,W ,P ,P ,P ,P*,P ,P ,P ,P ,W ,W ,W ,W ,W ,W ,W ,W ,O ,O 
G ,G ,G ,G*,G ,G ,G ,G ,W ,W ,P ,P ,P ,P ,P ,P ,P ,P ,W ,W ,W ,W ,W ,O ,O ,O ,O ,O 
G ,G ,G ,G ,G ,G ,G ,W ,W ,W ,P ,P ,P ,P ,P ,P ,P ,P ,W ,W ,O ,O ,O ,O#,O ,O ,O ,O 
G ,G ,G ,G ,G ,G ,G ,W,W ,W ,P ,P ,P ,P ,P ,P ,W ,W ,W ,W>,O ,O ,O ,O ,O*,O ,O ,O 
G ,G ,G ,G ,G ,G ,W<,W,W ,W ,W ,W ,W ,W^,W ,W ,W ,W ,W ,W ,O ,O ,O ,O ,O ,O ,O ,O 
G ,G ,G ,G ,W,W,W,W,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,O ,O ,O ,O ,O ,O ,O ,O 
W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,W ,W ,W ,W ,W ,W ,W ,X 
W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W 
X ,X ,M ,M ,M ,W ,W ,W ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,S ,S ,S ,S ,S ,S ,S ,S 
M ,M ,M ,M ,M ,W<,W ,W ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,S ,S ,S ,S ,S ,S ,S ,S 
M ,M ,M ,M ,M ,M ,M ,M ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,S ,S ,S ,S#,S ,S ,S ,S 
M ,M ,M#,M ,M ,M ,M ,M ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W>,S ,S ,S ,S ,S*,S ,S ,S 
M ,M ,M ,M*,M ,M ,M ,M ,W ,W ,W ,W ,Wv,W ,W ,W ,W ,W ,W ,W ,S ,S ,S ,S ,S ,S ,S ,S 
M ,M ,M ,M ,M ,M ,M ,M ,W ,W ,B ,B ,B ,B ,B ,B ,B ,B ,W ,W ,S ,S ,S ,S ,S ,S ,S ,SC
M ,M ,M ,M ,M ,W<,W ,W ,W ,W ,B ,B ,B#,B ,B ,B ,B ,B ,W ,W ,S ,S ,S ,S ,S ,S ,S ,S 
X ,X ,M ,M ,M ,W ,W ,W ,W ,W ,B ,B ,B ,B*,B ,B ,B ,B ,W ,W ,S ,S ,W^,S ,S ,S ,S ,S 
W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,B ,B ,B ,B ,B ,B ,B ,B ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W 
W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,B ,B ,B ,B ,B ,B ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,X 
C ,C ,C ,C ,C ,C ,C ,W ,W ,W ,W ,W ,W ,W^,W^,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,D ,D 
C ,C ,C ,C ,C ,C ,C ,C ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,D ,D ,D ,D ,D 
C ,C ,C#,C ,C ,C ,C ,C ,C ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,W ,D ,D ,D ,D ,D ,D ,D ,D 
C ,C ,C ,C*,C ,C ,C ,C ,C ,W<,W ,W ,W ,W ,Wv,W ,W ,W ,W ,W>,D ,D ,D ,D#,D ,D ,D ,D 
C ,C ,C ,C ,C ,C ,C ,C ,C ,W ,W ,W ,L,L,L,L,W ,W ,W ,W ,D ,D ,D ,D ,D*,D ,D ,D 
C ,CS,C ,C ,C ,C ,C ,C ,W ,W ,W ,L,L,L,L,L,L,W ,W ,W ,D ,D ,D ,D ,D ,D ,D ,D 
C ,C ,C ,C ,C ,C ,C ,C ,W ,W ,W ,L,L#,L,L,L,L,W ,W ,W ,D ,D ,D ,D ,D ,D ,D ,D 
C ,C ,C ,C ,C ,C ,W ,W ,W ,W ,L,L,L,L*,L,L,L,L,W ,W ,W ,D ,D ,D ,D ,D ,D ,D 
X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,L,L,L,L,L,L,L,L,W ,W ,X ,X ,X ,X ,X ,X ,X ,X 
X ,X ,X ,X ,X ,X ,X ,X ,X ,X ,L,L,L,L,L,L,L,L,X ,X ,X ,X ,X ,X ,X ,X ,X ,X 
